,x,y,files,labels,dblabels,scores,Outliers,Scores - Linear,Scores - Log,colors
kplr010063028-2011073133259_llc.fits,0.4627712650594878,-3.4713956142785314,./Plots/kplr010063028-2011073133259_llc.png,KIC 10063028,0,0.00391796630426224,#009999,#f8e621,#54c568,#1f77b4
kplr008976915-2011073133259_llc.fits,-0.39792907379318015,-0.4145939150971818,./Plots/kplr008976915-2011073133259_llc.png,KIC 8976915,0,0.0017657838448616628,#009999,#fde725,#a2da37,#1f77b4
kplr008046689-2011073133259_llc.fits,-0.6013671717887634,3.4623268852411497,./Plots/kplr008046689-2011073133259_llc.png,KIC 8046689,0,0.002327814511255519,#009999,#fbe723,#84d44b,#1f77b4
kplr007499440-2011073133259_llc.fits,0.5080076447542232,-3.6924842440858696,./Plots/kplr007499440-2011073133259_llc.png,KIC 7499440,0,0.00773509970053331,#009999,#f4e61e,#27ad81,#1f77b4
kplr009691494-2011073133259_llc.fits,-0.4708424801185771,2.1082578174127007,./Plots/kplr009691494-2011073133259_llc.png,KIC 9691494,0,0.0013206091177781457,#009999,#fde725,#c2df23,#1f77b4
kplr009470028-2011073133259_llc.fits,-0.5561387760264421,1.730097019907387,./Plots/kplr009470028-2011073133259_llc.png,KIC 9470028,0,0.0009814695540183312,#009999,#fde725,#e2e418,#1f77b4
kplr006634686-2011073133259_llc.fits,0.7004797908268341,-4.588297531627534,./Plots/kplr006634686-2011073133259_llc.png,KIC 6634686,0,0.006951873425530974,#009999,#f4e61e,#2cb17e,#1f77b4
kplr008081710-2011073133259_llc.fits,-0.37712473379838535,2.3142288506312627,./Plots/kplr008081710-2011073133259_llc.png,KIC 8081710,0,0.0032885473869587213,#009999,#fbe723,#63cb5f,#1f77b4
kplr008043288-2011073133259_llc.fits,-0.2872540764806191,1.851425142315564,./Plots/kplr008043288-2011073133259_llc.png,KIC 8043288,0,0.004845101223007223,#009999,#f8e621,#42be71,#1f77b4
kplr005387719-2011073133259_llc.fits,-0.30997336607168074,-1.57263526653959,./Plots/kplr005387719-2011073133259_llc.png,KIC 5387719,0,0.005087008137192787,#009999,#f6e620,#3fbc73,#1f77b4
kplr005375003-2011073133259_llc.fits,-0.4694545916019762,0.4789468497071058,./Plots/kplr005375003-2011073133259_llc.png,KIC 5375003,0,0.0015999336858469617,#009999,#fde725,#addc30,#1f77b4
kplr010976789-2011073133259_llc.fits,-0.35608255019196117,1.0766212103114348,./Plots/kplr010976789-2011073133259_llc.png,KIC 10976789,0,0.0015575252076132618,#009999,#fde725,#b0dd2f,#1f77b4
kplr009663882-2011073133259_llc.fits,-0.4402235228870161,2.1247075505392936,./Plots/kplr009663882-2011073133259_llc.png,KIC 9663882,0,0.0016537349149374724,#009999,#fde725,#aadc32,#1f77b4
kplr010524689-2011073133259_llc.fits,-0.424249848413221,1.3675896882477203,./Plots/kplr010524689-2011073133259_llc.png,KIC 10524689,0,0.001243110042697355,#009999,#fde725,#c8e020,#1f77b4
kplr004931729-2011073133259_llc.fits,0.20507397769874203,-5.899294998129558,./Plots/kplr004931729-2011073133259_llc.png,KIC 4931729,0,0.007795927322636285,#009999,#f4e61e,#27ad81,#1f77b4
